,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
8,2020-01-22,Australia,0,0,0.0,0.0,0,0,0
23,2020-01-22,Brazil,0,0,0.0,0.0,0,0,0
83,2020-01-22,Israel,0,0,0.0,0.0,0,0,0
84,2020-01-22,Italy,0,0,0.0,0.0,0,0,0
124,2020-01-22,New Zealand,0,0,0.0,0.0,0,0,0
160,2020-01-22,South Africa,0,0,0.0,0.0,0,0,0
180,2020-01-22,US,1,0,0.0,1.0,0,0,0
184,2020-01-22,United Kingdom,0,0,0.0,0.0,0,0,0
202,2020-01-23,Australia,0,0,0.0,0.0,0,0,0
217,2020-01-23,Brazil,0,0,0.0,0.0,0,0,0
277,2020-01-23,Israel,0,0,0.0,0.0,0,0,0
278,2020-01-23,Italy,0,0,0.0,0.0,0,0,0
318,2020-01-23,New Zealand,0,0,0.0,0.0,0,0,0
354,2020-01-23,South Africa,0,0,0.0,0.0,0,0,0
374,2020-01-23,US,1,0,0.0,1.0,0,0,0
378,2020-01-23,United Kingdom,0,0,0.0,0.0,0,0,0
396,2020-01-24,Australia,0,0,0.0,0.0,0,0,0
411,2020-01-24,Brazil,0,0,0.0,0.0,0,0,0
471,2020-01-24,Israel,0,0,0.0,0.0,0,0,0
472,2020-01-24,Italy,0,0,0.0,0.0,0,0,0
512,2020-01-24,New Zealand,0,0,0.0,0.0,0,0,0
548,2020-01-24,South Africa,0,0,0.0,0.0,0,0,0
568,2020-01-24,US,2,0,0.0,2.0,1,0,0
572,2020-01-24,United Kingdom,0,0,0.0,0.0,0,0,0
590,2020-01-25,Australia,0,0,0.0,0.0,0,0,0
605,2020-01-25,Brazil,0,0,0.0,0.0,0,0,0
665,2020-01-25,Israel,0,0,0.0,0.0,0,0,0
666,2020-01-25,Italy,0,0,0.0,0.0,0,0,0
706,2020-01-25,New Zealand,0,0,0.0,0.0,0,0,0
742,2020-01-25,South Africa,0,0,0.0,0.0,0,0,0
762,2020-01-25,US,2,0,0.0,2.0,0,0,0
766,2020-01-25,United Kingdom,0,0,0.0,0.0,0,0,0
784,2020-01-26,Australia,4,0,0.0,4.0,4,0,0
799,2020-01-26,Brazil,0,0,0.0,0.0,0,0,0
859,2020-01-26,Israel,0,0,0.0,0.0,0,0,0
860,2020-01-26,Italy,0,0,0.0,0.0,0,0,0
900,2020-01-26,New Zealand,0,0,0.0,0.0,0,0,0
936,2020-01-26,South Africa,0,0,0.0,0.0,0,0,0
956,2020-01-26,US,5,0,0.0,5.0,3,0,0
960,2020-01-26,United Kingdom,0,0,0.0,0.0,0,0,0
978,2020-01-27,Australia,5,0,0.0,5.0,1,0,0
993,2020-01-27,Brazil,0,0,0.0,0.0,0,0,0
1053,2020-01-27,Israel,0,0,0.0,0.0,0,0,0
1054,2020-01-27,Italy,0,0,0.0,0.0,0,0,0
1094,2020-01-27,New Zealand,0,0,0.0,0.0,0,0,0
1130,2020-01-27,South Africa,0,0,0.0,0.0,0,0,0
1150,2020-01-27,US,5,0,0.0,5.0,0,0,0
1154,2020-01-27,United Kingdom,0,0,0.0,0.0,0,0,0
1172,2020-01-28,Australia,5,0,0.0,5.0,0,0,0
1187,2020-01-28,Brazil,0,0,0.0,0.0,0,0,0
1247,2020-01-28,Israel,0,0,0.0,0.0,0,0,0
1248,2020-01-28,Italy,0,0,0.0,0.0,0,0,0
1288,2020-01-28,New Zealand,0,0,0.0,0.0,0,0,0
1324,2020-01-28,South Africa,0,0,0.0,0.0,0,0,0
1344,2020-01-28,US,5,0,0.0,5.0,0,0,0
1348,2020-01-28,United Kingdom,0,0,0.0,0.0,0,0,0
1366,2020-01-29,Australia,6,0,0.0,6.0,1,0,0
1381,2020-01-29,Brazil,0,0,0.0,0.0,0,0,0
1441,2020-01-29,Israel,0,0,0.0,0.0,0,0,0
1442,2020-01-29,Italy,0,0,0.0,0.0,0,0,0
1482,2020-01-29,New Zealand,0,0,0.0,0.0,0,0,0
1518,2020-01-29,South Africa,0,0,0.0,0.0,0,0,0
1538,2020-01-29,US,6,0,0.0,6.0,1,0,0
1542,2020-01-29,United Kingdom,0,0,0.0,0.0,0,0,0
1560,2020-01-30,Australia,9,0,2.0,7.0,3,0,2
1575,2020-01-30,Brazil,0,0,0.0,0.0,0,0,0
1635,2020-01-30,Israel,0,0,0.0,0.0,0,0,0
1636,2020-01-30,Italy,0,0,0.0,0.0,0,0,0
1676,2020-01-30,New Zealand,0,0,0.0,0.0,0,0,0
1712,2020-01-30,South Africa,0,0,0.0,0.0,0,0,0
1732,2020-01-30,US,6,0,0.0,6.0,0,0,0
1736,2020-01-30,United Kingdom,0,0,0.0,0.0,0,0,0
1754,2020-01-31,Australia,9,0,2.0,7.0,0,0,0
1769,2020-01-31,Brazil,0,0,0.0,0.0,0,0,0
1829,2020-01-31,Israel,0,0,0.0,0.0,0,0,0
1830,2020-01-31,Italy,2,0,0.0,2.0,2,0,0
1870,2020-01-31,New Zealand,0,0,0.0,0.0,0,0,0
1906,2020-01-31,South Africa,0,0,0.0,0.0,0,0,0
1926,2020-01-31,US,8,0,0.0,8.0,2,0,0
1930,2020-01-31,United Kingdom,2,0,0.0,2.0,2,0,0
1948,2020-02-01,Australia,12,0,2.0,10.0,3,0,0
1963,2020-02-01,Brazil,0,0,0.0,0.0,0,0,0
2023,2020-02-01,Israel,0,0,0.0,0.0,0,0,0
2024,2020-02-01,Italy,2,0,0.0,2.0,0,0,0
2064,2020-02-01,New Zealand,0,0,0.0,0.0,0,0,0
2100,2020-02-01,South Africa,0,0,0.0,0.0,0,0,0
2120,2020-02-01,US,8,0,0.0,8.0,0,0,0
2124,2020-02-01,United Kingdom,2,0,0.0,2.0,0,0,0
2142,2020-02-02,Australia,12,0,2.0,10.0,0,0,0
2157,2020-02-02,Brazil,0,0,0.0,0.0,0,0,0
2217,2020-02-02,Israel,0,0,0.0,0.0,0,0,0
2218,2020-02-02,Italy,2,0,0.0,2.0,0,0,0
2258,2020-02-02,New Zealand,0,0,0.0,0.0,0,0,0
2294,2020-02-02,South Africa,0,0,0.0,0.0,0,0,0
2314,2020-02-02,US,8,0,0.0,8.0,0,0,0
2318,2020-02-02,United Kingdom,2,0,0.0,2.0,0,0,0
2336,2020-02-03,Australia,12,0,2.0,10.0,0,0,0
