,Percentage_Vacc,Percentage_Deaths
Afghanistan,9.160914409375936,0.5435243181824779
Albania,35.18028235819804,3.07737522390153
Algeria,12.294421366442755,0.3964763164242182
Andorra,65.14333786319808,4.888371190060183
Angola,10.088632515258501,0.15233856183488798
Antigua and Barbuda,59.112817580263055,3.2360509762274323
Argentina,68.82312429381531,7.432202689292755
Armenia,19.661761440372242,6.907858103679966
Australia,75.42821300437058,0.2219796355679893
Austria,69.78176457757785,3.981696058350122
Azerbaijan,45.72035573083434,2.2211515674004136
Bahrain,68.57402783173082,2.456594829638049
Bangladesh,26.71901017444458,0.5087492494886571
Barbados,48.71020388278567,2.0492673234251195
Belarus,30.488226179746675,1.553762737846639
Belgium,75.7093048743436,6.8656992555467085
Belize,49.479529501711426,4.078255424135043
Benin,7.234996904282188,0.039840972654245195
Bhutan,73.17291592147349,0.011663893252048956
Bolivia,37.43020770358748,4.891789440427159
Bosnia and Herzegovina,21.96499955041659,11.044633726680718
Botswana,22.454515494604795,3.0778716844735023
Brazil,65.93543219721693,8.626185538556893
Bulgaria,26.716443722276306,11.47278704162437
Burkina Faso,1.5488814720829909,0.03554466433446467
Burundi,0.017458903666630478,0.009587259238901129
Cabo Verde,0.0,1.8858320683180212
Cambodia,81.10137878700789,0.515282908260323
Cameroon,2.311497565119749,0.1988784392174992
Canada,76.90794095277077,2.3228719157080397
Central African Republic,6.934210450034412,0.0625082302158035
Chad,0.49107325224208975,0.031961798771071886
Chile,85.43376984421963,5.967129779759156
China,82.90978181486214,0.010375062762461203
Colombia,51.579823973814065,7.539843850045921
Comoros,28.144251059401213,0.5128824337766432
Costa Rica,66.04638215791793,4.24699957637383
Cote d'Ivoire,5.709001062427319,0.07972469769156626
Croatia,50.78325756078277,7.415744218224946
Cuba,82.66041684471337,2.1931440070008557
Cyprus,49.14685831329652,1.4537491272287244
Denmark,77.14493799434922,1.4371667612122228
Djibouti,2.640379270487307,0.5629543260033887
Dominica,37.66443027600672,1.4390687724854496
Dominican Republic,52.20129160435049,1.1540017315787454
Ecuador,66.6533696535635,5.6213888067035995
El Salvador,63.47812841446018,1.7218399491474283
Equatorial Guinea,14.162018838405258,0.36215640224236184
Estonia,60.41995196298882,3.7969072699365993
Eswatini,24.383276847066448,3.221354911891767
Ethiopia,1.2641272671538082,0.17289214098346256
Fiji,66.72195920771404,2.296183587597217
Finland,73.85634670645896,0.6719921948665264
France,71.44133817781574,5.309397544636955
Gabon,7.778264010696725,0.35754593553210456
Georgia,28.48966074313409,8.94235325794292
Germany,69.73443403918944,3.545931503915911
Ghana,2.7104769116670466,0.11596261635322946
Greece,63.35640852372566,4.746093737241088
Grenada,31.07297434211111,5.31999040162106
Guatemala,25.88970095679092,2.7871972869440884
Guinea,6.231355830504283,0.08829805573711973
Guinea-Bissau,1.0779990630071778,0.22037624021975633
Guyana,36.41646716902356,3.664823617808709
Haiti,0.5866065022569985,0.1858709814740286
Honduras,39.29057061117411,3.1360251713142
Hungary,60.5830213513908,9.964621704137834
Iceland,77.15739919492393,0.2800027290714335
India,38.06709027232548,1.0089512143108155
Indonesia,38.213210112482386,1.5756492928265233
Iraq,12.825484779005425,1.7553208958676687
Ireland,76.38349986906184,3.3456303091021646
Israel,62.91558984040188,2.6524319456650285
Italy,74.45868602361254,6.695005306358564
Jamaica,18.29957911778522,2.355292400514528
Japan,78.00464701597645,0.43689715840585897
Jordan,37.581430814435556,3.3169200853854797
Kazakhstan,44.295500158895706,2.801523265957288
Kenya,6.221757703458908,0.29665639476821276
Kiribati,18.98347370359828,0.0
Kosovo,43.575677968297455,5.035885315690518
Latvia,64.9045935206474,5.955305887624188
Lebanon,25.706774740742066,3.782685429016905
Lesotho,28.867472174141977,0.9248678493473224
Liberia,11.381786539551655,0.17023625668464
Libya,10.92210236597598,2.3169604180410452
Liechtenstein,66.71473896740699,4.798489655714922
Lithuania,64.69370594339286,6.819587075535835
Luxembourg,67.96172551500533,4.0695899727175675
Madagascar,1.9542798334723617,0.10452125290152739
Malawi,3.318925737148885,0.3611508756816208
Malaysia,78.7557454585519,2.755910693685392
Maldives,67.63655738129508,1.369551302211484
Mali,1.7220426576011634,0.08696925766119065
Malta,82.66560057873345,2.6465632942117137
Marshall Islands,0.0,0.0
Mauritania,15.181970294602188,0.5239522889845709
Mauritius,72.28467141751071,0.5401583263545436
Mexico,51.364093652758655,6.777793692189292
Moldova,36.644383494663494,9.77752481072037
Monaco,59.39251860156966,2.752013046580369
Mongolia,65.78596415450485,1.7309623425857124
Montenegro,42.558845006900235,10.667376527621848
Morocco,61.96762454796809,1.1980908010114613
Mozambique,14.796978509497627,0.1858268809888584
Namibia,12.557676050684083,4.209820395479426
Nepal,29.94763530720318,1.1818556102645148
Netherlands,73.23016575924312,3.3160620989259932
New Zealand,74.0881537281435,0.021182857030466337
Nicaragua,38.34724571646635,0.09525169543489267
Niger,1.9185358923891778,0.02911598290650547
Nigeria,1.9255520289753951,0.042903452600785506
North Macedonia,37.914590713168025,10.5921147366299
Norway,72.1981977795231,0.5436961785304328
Oman,55.38252096983094,2.416098156472126
Pakistan,26.247879108125304,0.38863775673588236
Palau,0.0,0.0
Panama,56.76423390550778,5.1057206320247115
Papua New Guinea,2.4145115466847256,0.15383881148453002
Paraguay,38.82044660169674,6.864787109202484
Peru,60.07428883417689,18.26088232973064
Philippines,38.335323107998065,1.257462453488209
Poland,54.62541213226535,6.300860255864949
Portugal,87.68503111523057,5.322212350532198
Qatar,76.9956890866556,0.6362241674939085
Romania,39.75648190152059,8.268950685422881
Rwanda,29.958302865557528,0.30977727428579943
Samoa,61.2564890882516,0.0
San Marino,69.98055277270316,8.16783546467087
Sao Tome and Principe,22.32513996559607,0.7665597437500284
Saudi Arabia,65.62917586834006,0.759703022936234
Senegal,5.593806233064758,0.33720876759518226
Serbia,45.91818389212625,4.731187060523805
Seychelles,79.43572139505596,3.723263797200951
Sierra Leone,4.829293273085007,0.04550591482872288
Singapore,83.44694077727225,0.31033413550618233
Slovenia,55.84679204961988,7.101526289375018
Solomon Islands,7.6169276057756985,0.0
Somalia,4.180537624253463,0.24542542325755407
South Africa,25.982984955493034,4.527670397036252
South Sudan,1.5849856647413922,0.035644957993891044
Spain,79.70613095021754,5.557511961536563
Sri Lanka,62.928130845385276,1.9205073224143436
Sudan,2.815066312736023,0.21246876430254746
Suriname,38.280767906394786,5.805152786916544
Sweden,70.4048663236825,4.373656606179858
Switzerland,66.80237900282694,3.944970507923217
Tajikistan,27.185230898790287,0.039317894297143885
Tanzania,1.8048316799620343,0.03649834643339153
Thailand,62.082429309648205,0.8639229083997706
Timor-Leste,0.0,0.2776003798422684
Togo,9.784934586036494,0.08803275185574805
Trinidad and Tobago,46.87311315328216,4.065335182577094
Tunisia,45.503408266516445,6.425776685565097
Turkey,60.473961610222695,2.6276624568303557
Uganda,2.8154150543276275,0.21247458516429463
Ukraine,28.686958352695463,5.598423444341167
United Arab Emirates,91.20037612230041,0.6498726037369571
United Kingdom,69.63386888754617,6.404746312717852
Uruguay,76.7697058519567,5.271542639936875
Uzbekistan,17.182979108759188,0.11932677125676085
Vanuatu,15.414292690867654,0.009767214715936839
Vietnam,54.679977209037446,0.7209227609158847
Zambia,4.650680190922999,0.5980867230099985
Zimbabwe,20.175238699618184,0.9477406435488783
