,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Case_Fatality,Deaths_per_100k
0,2020-01-22,Australia,0,0,0.0,0.0,0,0,0,0.6,8.8
1,2020-01-23,Australia,0,0,0.0,0.0,0,0,0,0.6,8.8
2,2020-01-24,Australia,0,0,0.0,0.0,0,0,0,0.6,8.8
3,2020-01-25,Australia,0,0,0.0,0.0,0,0,0,0.6,8.8
4,2020-01-26,Australia,4,0,0.0,4.0,4,0,0,0.6,8.8
5,2020-01-27,Australia,5,0,0.0,5.0,1,0,0,0.6,8.8
6,2020-01-28,Australia,5,0,0.0,5.0,0,0,0,0.6,8.8
7,2020-01-29,Australia,6,0,0.0,6.0,1,0,0,0.6,8.8
8,2020-01-30,Australia,9,0,2.0,7.0,3,0,2,0.6,8.8
9,2020-01-31,Australia,9,0,2.0,7.0,0,0,0,0.6,8.8
10,2020-02-01,Australia,12,0,2.0,10.0,3,0,0,0.6,8.8
11,2020-02-02,Australia,12,0,2.0,10.0,0,0,0,0.6,8.8
12,2020-02-03,Australia,12,0,2.0,10.0,0,0,0,0.6,8.8
13,2020-02-04,Australia,13,0,2.0,11.0,1,0,0,0.6,8.8
14,2020-02-05,Australia,13,0,2.0,11.0,0,0,0,0.6,8.8
15,2020-02-06,Australia,14,0,2.0,12.0,1,0,0,0.6,8.8
16,2020-02-07,Australia,15,0,2.0,13.0,1,0,0,0.6,8.8
17,2020-02-08,Australia,15,0,2.0,13.0,0,0,0,0.6,8.8
18,2020-02-09,Australia,15,0,2.0,13.0,0,0,0,0.6,8.8
19,2020-02-10,Australia,15,0,2.0,13.0,0,0,0,0.6,8.8
20,2020-02-11,Australia,15,0,2.0,13.0,0,0,0,0.6,8.8
21,2020-02-12,Australia,15,0,2.0,13.0,0,0,0,0.6,8.8
22,2020-02-13,Australia,15,0,8.0,7.0,0,0,6,0.6,8.8
23,2020-02-14,Australia,15,0,8.0,7.0,0,0,0,0.6,8.8
24,2020-02-15,Australia,15,0,8.0,7.0,0,0,0,0.6,8.8
25,2020-02-16,Australia,15,0,8.0,7.0,0,0,0,0.6,8.8
26,2020-02-17,Australia,15,0,10.0,5.0,0,0,2,0.6,8.8
27,2020-02-18,Australia,15,0,10.0,5.0,0,0,0,0.6,8.8
28,2020-02-19,Australia,15,0,10.0,5.0,0,0,0,0.6,8.8
29,2020-02-20,Australia,15,0,10.0,5.0,0,0,0,0.6,8.8
30,2020-02-21,Australia,15,0,11.0,4.0,0,0,1,0.6,8.8
31,2020-02-22,Australia,15,0,11.0,4.0,0,0,0,0.6,8.8
32,2020-02-23,Australia,15,0,11.0,4.0,0,0,0,0.6,8.8
33,2020-02-24,Australia,15,0,11.0,4.0,0,0,0,0.6,8.8
34,2020-02-25,Australia,15,0,11.0,4.0,0,0,0,0.6,8.8
35,2020-02-26,Australia,15,0,11.0,4.0,0,0,0,0.6,8.8
36,2020-02-27,Australia,15,0,11.0,4.0,0,0,0,0.6,8.8
37,2020-02-28,Australia,15,0,11.0,4.0,0,0,0,0.6,8.8
38,2020-02-29,Australia,25,0,11.0,14.0,10,0,0,0.6,8.8
39,2020-03-01,Australia,27,1,11.0,15.0,2,1,0,0.6,8.8
40,2020-03-02,Australia,30,1,11.0,18.0,3,0,0,0.6,8.8
41,2020-03-03,Australia,39,1,11.0,27.0,9,0,0,0.6,8.8
