Country/Region,Code,Date,people_fully_vaccinated_per_hundred,people_not_vaccinated_per_hundred,145609-annotations
Afghanistan,AFG,5/11/2021,0.14,99.86,
Afghanistan,AFG,5/20/2021,0.19,99.81,
Afghanistan,AFG,5/24/2021,0.24,99.76,
Afghanistan,AFG,5/26/2021,0.28,99.72,
Afghanistan,AFG,5/27/2021,0.29,99.71,
Afghanistan,AFG,5/30/2021,0.3,99.7,
Afghanistan,AFG,6/2/2021,0.36,99.64,
Afghanistan,AFG,6/3/2021,0.37,99.63,
Afghanistan,AFG,6/8/2021,0.4,99.6,
Afghanistan,AFG,6/14/2021,0.44,99.56,
Afghanistan,AFG,6/22/2021,0.46,99.54,
Afghanistan,AFG,6/27/2021,0.47,99.53,
Afghanistan,AFG,6/30/2021,0.47,99.53,
Afghanistan,AFG,7/5/2021,0.48,99.52,
Afghanistan,AFG,7/7/2021,0.5,99.5,
Afghanistan,AFG,7/11/2021,0.55,99.45,
Afghanistan,AFG,8/20/2021,1.08,98.92,
Afghanistan,AFG,11/14/2021,8,92,
Afghanistan,AFG,11/20/2021,8.67,91.33,
Afghanistan,AFG,11/27/2021,8.95,91.05,
Africa,,2/3/2021,0,100,
Africa,,2/4/2021,0,100,
Africa,,2/5/2021,0,100,
Africa,,2/6/2021,0,100,
Africa,,2/8/2021,0,100,
Africa,,2/9/2021,0,100,
Africa,,2/10/2021,0,100,
Africa,,2/11/2021,0,100,
Africa,,2/12/2021,0,100,
Africa,,2/13/2021,0,100,
Africa,,2/15/2021,0,100,
Africa,,2/16/2021,0,100,
Africa,,2/17/2021,0,100,
Africa,,2/18/2021,0,100,
Africa,,2/19/2021,0,100,
Africa,,2/20/2021,0,100,
Africa,,2/21/2021,0,100,
Africa,,2/22/2021,0,100,
Africa,,2/23/2021,0.01,99.99,
Africa,,2/24/2021,0.01,99.99,
Africa,,2/25/2021,0.01,99.99,
Africa,,2/26/2021,0.01,99.99,
Africa,,2/27/2021,0.02,99.98,
Africa,,2/28/2021,0.02,99.98,
Africa,,3/1/2021,0.02,99.98,
Africa,,3/2/2021,0.03,99.97,
Africa,,3/3/2021,0.03,99.97,
Africa,,3/4/2021,0.04,99.96,
Africa,,3/5/2021,0.05,99.95,
Africa,,3/6/2021,0.05,99.95,
Africa,,3/7/2021,0.05,99.95,
Africa,,3/8/2021,0.06,99.94,
Africa,,3/9/2021,0.06,99.94,
Africa,,3/10/2021,0.07,99.93,
Africa,,3/11/2021,0.08,99.92,
Africa,,3/12/2021,0.1,99.9,
Africa,,3/13/2021,0.12,99.88,
Africa,,3/14/2021,0.12,99.88,
Africa,,3/15/2021,0.14,99.86,
Africa,,3/16/2021,0.16,99.84,
Africa,,3/17/2021,0.17,99.83,
Africa,,3/18/2021,0.17,99.83,
Africa,,3/19/2021,0.19,99.81,
Africa,,3/20/2021,0.19,99.81,
Africa,,3/21/2021,0.19,99.81,
Africa,,3/22/2021,0.2,99.8,
Africa,,3/23/2021,0.21,99.79,
Africa,,3/24/2021,0.22,99.78,
Africa,,3/25/2021,0.24,99.76,
Africa,,3/26/2021,0.26,99.74,
Africa,,3/27/2021,0.26,99.74,
Africa,,3/28/2021,0.26,99.74,
Africa,,3/29/2021,0.27,99.73,
Africa,,3/30/2021,0.28,99.72,
Africa,,3/31/2021,0.29,99.71,
Africa,,4/1/2021,0.3,99.7,
Africa,,4/2/2021,0.3,99.7,
Africa,,4/3/2021,0.31,99.69,
Africa,,4/4/2021,0.31,99.69,
Africa,,4/5/2021,0.31,99.69,
Africa,,4/6/2021,0.32,99.68,
Africa,,4/7/2021,0.32,99.68,
Africa,,4/8/2021,0.32,99.68,
Africa,,4/9/2021,0.33,99.67,
Africa,,4/10/2021,0.33,99.67,
Africa,,4/11/2021,0.33,99.67,
Africa,,4/12/2021,0.33,99.67,
Africa,,4/13/2021,0.33,99.67,
Africa,,4/14/2021,0.33,99.67,
Africa,,4/15/2021,0.33,99.67,
Africa,,4/16/2021,0.33,99.67,
Africa,,4/17/2021,0.34,99.66,
Africa,,4/18/2021,0.34,99.66,
